"cidr","hostmin","hostmax","vendor"
"15.177.85.0/24","15.177.85.0","15.177.85.255","AWS"
"15.177.86.0/24","15.177.86.0","15.177.86.255","AWS"
"15.177.87.0/24","15.177.87.0","15.177.87.255","AWS"
"15.177.88.0/24","15.177.88.0","15.177.88.255","AWS"
"15.177.89.0/24","15.177.89.0","15.177.89.255","AWS"
"15.177.90.0/24","15.177.90.0","15.177.90.255","AWS"
"15.177.91.0/24","15.177.91.0","15.177.91.255","AWS"
"15.184.0.0/16","15.184.0.0","15.184.255.255","AWS"
"15.185.0.0/16","15.185.0.0","15.185.255.255","AWS"
"15.188.0.0/16","15.188.0.0","15.188.255.255","AWS"
"15.188.184.0/24","15.188.184.0","15.188.184.255","AWS"
"15.188.210.32/27","15.188.210.32","15.188.210.63","AWS"
"15.188.210.64/27","15.188.210.64","15.188.210.95","AWS"
"15.188.210.196/30","15.188.210.196","15.188.210.199","AWS"
"15.188.210.200/30","15.188.210.200","15.188.210.203","AWS"
"15.193.0.0/19","15.193.0.0","15.193.31.255","AWS"
"15.193.0.0/24","15.193.0.0","15.193.0.255","AWS"
"15.193.1.0/24","15.193.1.0","15.193.1.255","AWS"
"15.193.2.0/24","15.193.2.0","15.193.2.255","AWS"
"15.193.3.0/24","15.193.3.0","15.193.3.255","AWS"
"15.193.4.0/24","15.193.4.0","15.193.4.255","AWS"
"15.193.5.0/24","15.193.5.0","15.193.5.255","AWS"
"15.193.6.0/24","15.193.6.0","15.193.6.255","AWS"
"15.193.7.0/24","15.193.7.0","15.193.7.255","AWS"
"15.197.0.0/23","15.197.0.0","15.197.1.255","AWS"
"15.197.2.0/24","15.197.2.0","15.197.2.255","AWS"
"15.197.4.0/22","15.197.4.0","15.197.7.255","AWS"
"15.200.0.0/16","15.200.0.0","15.200.255.255","AWS"
"15.200.28.80/30","15.200.28.80","15.200.28.83","AWS"
"15.206.0.0/15","15.206.0.0","15.207.255.255","AWS"
"15.207.13.128/25","15.207.13.128","15.207.13.255","AWS"
"15.221.0.0/24","15.221.0.0","15.221.0.255","AWS"
"15.221.1.0/24","15.221.1.0","15.221.1.255","AWS"
"15.221.2.0/24","15.221.2.0","15.221.2.255","AWS"
"15.221.3.0/24","15.221.3.0","15.221.3.255","AWS"
"15.221.4.0/23","15.221.4.0","15.221.5.255","AWS"
"15.221.8.0/21","15.221.8.0","15.221.15.255","AWS"
"15.221.16.0/22","15.221.16.0","15.221.19.255","AWS"
"15.221.20.0/22","15.221.20.0","15.221.23.255","AWS"
"15.221.24.0/21","15.221.24.0","15.221.31.255","AWS"
"15.221.33.0/24","15.221.33.0","15.221.33.255","AWS"
"15.221.34.0/24","15.221.34.0","15.221.34.255","AWS"
"15.221.35.0/24","15.221.35.0","15.221.35.255","AWS"
"15.222.0.0/15","15.222.0.0","15.223.255.255","AWS"
"15.222.16.96/27","15.222.16.96","15.222.16.127","AWS"
"15.222.43.0/27","15.222.43.0","15.222.43.31","AWS"
"15.223.100.0/24","15.223.100.0","15.223.100.255","AWS"
"15.223.102.0/23","15.223.102.0","15.223.103.255","AWS"
"15.228.0.0/15","15.228.0.0","15.229.255.255","AWS"
"15.230.5.0/24","15.230.5.0","15.230.5.255","AWS"
"15.230.6.0/24","15.230.6.0","15.230.6.255","AWS"
"15.230.18.0/24","15.230.18.0","15.230.18.255","AWS"
"15.230.21.0/24","15.230.21.0","15.230.21.255","AWS"
"15.230.22.0/24","15.230.22.0","15.230.22.255","AWS"
"15.230.23.0/24","15.230.23.0","15.230.23.255","AWS"
"15.230.24.0/22","15.230.24.0","15.230.27.255","AWS"
"15.230.28.0/24","15.230.28.0","15.230.28.255","AWS"
"15.230.29.0/24","15.230.29.0","15.230.29.255","AWS"
"15.230.30.0/24","15.230.30.0","15.230.30.255","AWS"
"15.230.31.0/24","15.230.31.0","15.230.31.255","AWS"
"15.230.32.0/24","15.230.32.0","15.230.32.255","AWS"
"15.230.35.0/24","15.230.35.0","15.230.35.255","AWS"
"15.230.36.0/23","15.230.36.0","15.230.37.255","AWS"
"15.230.38.0/24","15.230.38.0","15.230.38.255","AWS"
"15.230.39.0/31","15.230.39.0","15.230.39.1","AWS"
"15.230.39.2/31","15.230.39.2","15.230.39.3","AWS"
"15.230.39.4/31","15.230.39.4","15.230.39.5","AWS"
"15.230.39.6/31","15.230.39.6","15.230.39.7","AWS"
"15.230.39.8/31","15.230.39.8","15.230.39.9","AWS"
"15.230.39.10/31","15.230.39.10","15.230.39.11","AWS"
"15.230.39.12/31","15.230.39.12","15.230.39.13","AWS"
"15.230.39.14/31","15.230.39.14","15.230.39.15","AWS"
"15.230.39.16/31","15.230.39.16","15.230.39.17","AWS"
"15.230.39.18/31","15.230.39.18","15.230.39.19","AWS"
"15.230.39.20/31","15.230.39.20","15.230.39.21","AWS"
"15.230.39.22/31","15.230.39.22","15.230.39.23","AWS"
"15.230.39.24/31","15.230.39.24","15.230.39.25","AWS"
"15.230.39.26/31","15.230.39.26","15.230.39.27","AWS"
"15.230.39.28/31","15.230.39.28","15.230.39.29","AWS"
"15.230.39.30/31","15.230.39.30","15.230.39.31","AWS"
"15.230.39.32/31","15.230.39.32","15.230.39.33","AWS"
"15.230.39.34/31","15.230.39.34","15.230.39.35","AWS"
"15.230.39.36/31","15.230.39.36","15.230.39.37","AWS"
"15.230.39.38/31","15.230.39.38","15.230.39.39","AWS"
"15.230.39.40/31","15.230.39.40","15.230.39.41","AWS"
"15.230.39.42/31","15.230.39.42","15.230.39.43","AWS"
"15.230.39.44/31","15.230.39.44","15.230.39.45","AWS"
"15.230.39.46/31","15.230.39.46","15.230.39.47","AWS"
"15.230.39.48/31","15.230.39.48","15.230.39.49","AWS"
"15.230.39.50/31","15.230.39.50","15.230.39.51","AWS"
"15.230.39.52/31","15.230.39.52","15.230.39.53","AWS"
"15.230.39.54/31","15.230.39.54","15.230.39.55","AWS"
"15.230.39.56/31","15.230.39.56","15.230.39.57","AWS"
"15.230.39.58/31","15.230.39.58","15.230.39.59","AWS"
